                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.44776,                0.34797,                0.99257,                 0.9894,                0.96417,                0.97255,                 0.9481,                 1.1776,                0.46468,                 2.7663,               0.008878,               0.008878,               0.008878
                     37,                0.44672,                 0.3481,                 0.9921,                 0.9896,                0.96495,                0.97232,                0.94822,                 1.1745,                0.46578,                 2.7515,               0.008845,               0.008845,               0.008845
                     38,                0.44575,                0.34795,                0.99219,                0.99046,                0.96257,                0.97215,                0.94819,                 1.1731,                0.46519,                 2.7969,               0.008812,               0.008812,               0.008812
                     39,                0.44126,                0.34568,                0.98915,                0.98951,                0.96499,                0.97253,                0.94848,                  1.173,                0.46627,                 2.8003,               0.008779,               0.008779,               0.008779
                     40,                0.44041,                0.34623,                0.99071,                0.98887,                0.96458,                0.97177,                0.94824,                 1.1711,                0.47047,                 2.7912,               0.008746,               0.008746,               0.008746
                     41,                0.43656,                0.34199,                0.98589,                0.99013,                0.96612,                0.97211,                0.94918,                 1.1688,                0.47124,                 2.8069,               0.008713,               0.008713,               0.008713
                     42,                0.43693,                0.34291,                0.98861,                0.98974,                 0.9671,                0.97155,                 0.9491,                 1.1654,                0.46861,                  2.794,                0.00868,                0.00868,                0.00868
                     43,                0.43544,                0.33852,                0.98744,                0.99076,                0.96679,                0.97373,                0.95051,                 1.1647,                0.46999,                 2.7892,               0.008647,               0.008647,               0.008647
                     44,                0.43209,                0.33854,                0.98433,                0.98978,                0.96672,                0.97377,                0.95066,                 1.1653,                0.47006,                 2.7699,               0.008614,               0.008614,               0.008614
                     45,                0.42935,                0.33744,                0.98481,                0.98956,                0.96702,                0.97407,                0.95047,                 1.1636,                  0.467,                 2.7715,               0.008581,               0.008581,               0.008581
                     46,                0.43081,                0.33557,                0.98408,                0.98991,                0.96559,                0.97244,                0.94933,                 1.1627,                0.46889,                 2.7775,               0.008548,               0.008548,               0.008548
                     47,                0.42846,                0.33765,                 0.9846,                   0.99,                0.96553,                0.97136,                0.94907,                 1.1609,                0.46706,                 2.7845,               0.008515,               0.008515,               0.008515
                     48,                0.42595,                0.33344,                0.98029,                0.98939,                0.96588,                0.97144,                0.94911,                 1.1618,                 0.4672,                 2.7854,               0.008482,               0.008482,               0.008482
                     49,                0.42738,                0.33173,                0.98328,                0.99031,                0.96513,                 0.9716,                0.94874,                 1.1612,                0.46616,                 2.7822,               0.008449,               0.008449,               0.008449
                     50,                 0.4271,                0.33455,                0.98221,                 0.9903,                0.96573,                0.97174,                0.94921,                 1.1598,                0.46393,                 2.7799,               0.008416,               0.008416,               0.008416
                     51,                0.42165,                0.33046,                0.98027,                0.99059,                0.96527,                0.97178,                0.94952,                 1.1574,                0.46293,                 2.7736,               0.008383,               0.008383,               0.008383
                     52,                0.42047,                0.32844,                0.97841,                0.99033,                0.96577,                0.97186,                0.94929,                 1.1568,                0.46269,                 2.7753,                0.00835,                0.00835,                0.00835
                     53,                0.41864,                0.32773,                0.97799,                0.99051,                0.96598,                0.97187,                0.94978,                  1.156,                0.46126,                 2.7782,               0.008317,               0.008317,               0.008317
                     54,                0.41625,                0.32657,                0.97794,                0.99065,                  0.966,                0.97181,                0.95004,                 1.1553,                0.46075,                 2.7834,               0.008284,               0.008284,               0.008284
                     55,                0.41713,                0.32877,                0.97655,                 0.9905,                0.96649,                0.97185,                0.95035,                 1.1555,                0.46027,                 2.7862,               0.008251,               0.008251,               0.008251
                     56,                 0.4177,                0.32692,                0.97551,                0.99045,                0.96671,                0.97191,                0.95055,                 1.1562,                0.46077,                 2.7879,               0.008218,               0.008218,               0.008218
                     57,                0.41606,                0.32753,                0.97583,                0.99059,                0.96692,                0.97212,                0.95137,                 1.1556,                0.46081,                 2.7885,               0.008185,               0.008185,               0.008185
                     58,                0.41425,                0.32552,                0.97542,                0.99077,                0.96709,                0.97219,                0.95186,                 1.1558,                0.46023,                 2.7894,               0.008152,               0.008152,               0.008152
                     59,                0.41379,                0.32567,                0.97411,                0.99056,                 0.9669,                0.97212,                0.95158,                 1.1556,                0.45979,                 2.7913,               0.008119,               0.008119,               0.008119
                     60,                0.40978,                0.31902,                0.97185,                0.99078,                 0.9667,                0.97223,                0.95227,                 1.1547,                 0.4592,                 2.7912,               0.008086,               0.008086,               0.008086
                     61,                0.41109,                0.32143,                0.97252,                0.99079,                0.96637,                0.97217,                0.95216,                 1.1544,                0.45867,                 2.7917,               0.008053,               0.008053,               0.008053
                     62,                0.41054,                0.31936,                0.97274,                0.99108,                0.96672,                0.97219,                0.95223,                 1.1539,                0.45854,                 2.7929,                0.00802,                0.00802,                0.00802
                     63,                0.40912,                0.31937,                0.97179,                 0.9913,                0.96663,                0.97205,                0.95241,                 1.1535,                  0.459,                 2.7932,               0.007987,               0.007987,               0.007987
                     64,                0.40924,                0.31972,                 0.9733,                0.99175,                0.96632,                0.97213,                0.95236,                 1.1529,                0.45911,                  2.794,               0.007954,               0.007954,               0.007954
                     65,                0.40717,                0.31739,                0.97107,                 0.9916,                 0.9664,                 0.9721,                 0.9521,                 1.1528,                0.45902,                  2.794,               0.007921,               0.007921,               0.007921
                     66,                0.40613,                0.31861,                0.97189,                0.99145,                0.96639,                0.97229,                 0.9527,                 1.1521,                 0.4591,                 2.7937,               0.007888,               0.007888,               0.007888
                     67,                0.40667,                0.31805,                0.97173,                0.99138,                0.96622,                0.97207,                0.95214,                 1.1514,                0.45907,                 2.7953,               0.007855,               0.007855,               0.007855
                     68,                0.40319,                0.31602,                0.97018,                0.99115,                0.96682,                0.97216,                0.95267,                 1.1507,                0.45884,                 2.7957,               0.007822,               0.007822,               0.007822
                     69,                0.40304,                0.31374,                 0.9687,                0.99133,                0.96659,                0.97222,                0.95263,                 1.1516,                0.45805,                 2.7989,               0.007789,               0.007789,               0.007789
                     70,                0.40208,                0.31541,                0.96835,                0.99133,                0.96659,                0.97224,                 0.9524,                 1.1514,                0.45761,                 2.7996,               0.007756,               0.007756,               0.007756
                     71,                 0.4054,                0.31703,                0.97179,                0.99148,                0.96676,                0.97215,                 0.9525,                 1.1513,                0.45736,                 2.8015,               0.007723,               0.007723,               0.007723
                     72,                0.39936,                0.31158,                0.96608,                0.99145,                 0.9667,                0.97232,                0.95265,                 1.1513,                0.45722,                 2.8029,                0.00769,                0.00769,                0.00769
                     73,                0.40081,                0.31412,                0.96817,                0.99133,                0.96657,                0.97233,                0.95302,                 1.1513,                0.45739,                 2.8039,               0.007657,               0.007657,               0.007657
                     74,                0.39915,                0.31167,                0.96701,                0.99127,                0.96629,                0.97226,                 0.9528,                 1.1512,                0.45757,                 2.8046,               0.007624,               0.007624,               0.007624
                     75,                 0.3969,                0.31018,                0.96481,                0.99126,                0.96599,                 0.9722,                0.95251,                 1.1507,                0.45743,                 2.8019,               0.007591,               0.007591,               0.007591
                     76,                0.39528,                0.31048,                0.96477,                 0.9914,                0.96618,                 0.9722,                0.95253,                  1.151,                0.45748,                 2.8026,               0.007558,               0.007558,               0.007558
                     77,                0.39695,                0.31008,                0.96525,                0.99126,                0.96615,                0.97218,                0.95226,                 1.1511,                0.45737,                 2.8025,               0.007525,               0.007525,               0.007525
                     78,                 0.3951,                 0.3098,                0.96378,                 0.9913,                0.96613,                0.97212,                0.95234,                 1.1507,                0.45698,                 2.8038,               0.007492,               0.007492,               0.007492
                     79,                0.39624,                0.30959,                0.96431,                0.99129,                0.96616,                0.97213,                0.95196,                 1.1504,                0.45711,                 2.8046,               0.007459,               0.007459,               0.007459
                     80,                0.39363,                0.30632,                 0.9639,                0.99131,                0.96618,                0.97215,                0.95213,                 1.1502,                0.45691,                 2.8053,               0.007426,               0.007426,               0.007426
                     81,                0.39455,                0.30972,                 0.9654,                0.99131,                0.96617,                 0.9721,                0.95234,                 1.1501,                0.45669,                 2.8063,               0.007393,               0.007393,               0.007393
                     82,                0.38967,                0.30721,                0.96123,                0.99138,                0.96602,                0.97203,                0.95232,                 1.1499,                0.45648,                 2.8067,                0.00736,                0.00736,                0.00736
                     83,                0.39313,                0.30864,                0.96426,                 0.9915,                0.96614,                0.97206,                0.95275,                 1.1498,                0.45629,                 2.8081,               0.007327,               0.007327,               0.007327
                     84,                  0.391,                0.30719,                0.96288,                0.99151,                0.96613,                0.97217,                 0.9525,                 1.1493,                0.45631,                 2.8083,               0.007294,               0.007294,               0.007294
                     85,                 0.3918,                0.30818,                 0.9642,                0.99154,                0.96617,                0.97222,                0.95287,                 1.1492,                0.45609,                 2.8089,               0.007261,               0.007261,               0.007261
                     86,                0.38995,                 0.3064,                0.96184,                0.99179,                0.96629,                0.97228,                0.95259,                 1.1487,                0.45587,                 2.8084,               0.007228,               0.007228,               0.007228
                     87,                0.38995,                0.30549,                0.96187,                0.99175,                0.96629,                0.97228,                0.95262,                 1.1481,                0.45612,                 2.8069,               0.007195,               0.007195,               0.007195
                     88,                 0.3899,                0.30795,                0.96244,                0.99167,                0.96631,                0.97228,                0.95239,                 1.1476,                0.45595,                 2.8067,               0.007162,               0.007162,               0.007162
                     89,                0.38724,                0.30354,                0.96032,                0.99167,                0.96636,                0.97226,                0.95254,                  1.147,                 0.4556,                 2.8065,               0.007129,               0.007129,               0.007129
                     90,                0.38749,                0.30264,                0.96032,                0.99169,                0.96647,                0.97226,                0.95293,                 1.1464,                0.45549,                 2.8065,               0.007096,               0.007096,               0.007096
